,JwMarriot_reviews,Sentiments
0,best stay amazing facilities service staff helpful friendly really good hands staff help problem family totally loves place hope visit pandemic,1
1,booked night stay celebrate birthday little princess turned lifetime memorable upgraded us presidential suite comfort also made special arrangements make day special guests luxurious day suite spacious elegant mesmerising view buffet meals lotus cafe mouth watering huge variety dishes hospitality extended staff made us feel home would like convey special thanks msrashmi guest relations mr satish fb mr sohaib duty manager ms amen mrrohit tiwari manager making required arrangements looking forward visit,1
2,jw marriott marriott always best choice birthday celebration upgraded room best one staff always courteous training breakfast good lunch dinner better marriott members since long time always continue choose brand stay cheers,1
3,expensive take good care rooms cleaned everyday staff warm welcoming stay great everything seemed focussed customer satisfaction luxury visit,1
4,short stay jwm juhu offered great city retreat food service room quality exceeded expectations importantly warmth hotel staff made coming lockdown absolutely delightful,1
5,locked home months time step pregnant traveling yr old daughter challenge yet needed break stressful days managing work home didnt want travel outside mumbai heard stayacations offerings various hotels around decided go safest option scanning various luxurious hotels mumbai decided jw marriott juhu best option located juhu beach ease travel offering great deal complimentary activities kids though website mentioned different activities whatever offered kept daughter happy booked deluxe room upgraded premium category best ocean view ever,1
6,worst service ever star hotel dont pick phone clean roomthey kept call waiting minutes still didnt clean room came back hours worst hotel ever,2
7,months pregnant safety comfort prime anniversary staycation jw marriott staff went beyond expectations ensure requirements regards safety checkin process etc completely taken care especially checkin process heard horror stories guests star hotels jw marriott cakewalk thanks staff would like especially call ms rashmi trivedi guided right checkin checkout process ensuring small staycation best experienced level personal touch hospitality even bali resorts secondly also thanks radhika front desk making check process swift buffet,1
8,excellent experience jw undoubtedly one best properties town staff really supportive made sure get every thing want disposal lot fun here😀,1
9,fabulous stay days top notch hospitality yuvraj helpful cooperative everything required asked food great stay fabulous along great service,1
10,nine long months staying home finally decided start staycation glad chose jwmarriot juhu beautiful property beach every staff hotel took necessary precautions like masks sanitizersthrough stay rooms spot less comfy bed pillows good quality sleep got ocean view club room room amenities spacious room perfect us two adults one toddler package includes buffet breakfast high tea dinner plus sunday brunch huge spread sunday brunch fresh seafood salads live stations dessert station cold cuts sushi fresh juices nd much much indian section quite impressive coz instead regular curries,1
11,covid times dint place online festival jw made possible us dont think hotel would possible thank service guys given us specially taking care safety days even faced single problem would love associate guys future would like thank mr srikant sales akshay sales mr yuvraj fb abhsihek front office specially thank people,1
12,would like thank mryuvraj f n b really took care event service whenever called hospitality wonderful would like wish best future would also like thank jw mariott mumbai us helping us close event make event grand success would like associated hotel future social events,1
13,amazing experience jw mumbai week event nice food ambience thank mr akshay shetty sales helped us every detailing event regards rishabh jain,1
14,amazing experience cooperative staff😍 nice food ambience one finest properties mumbai would like thank mr shrikant sales helped us making event grand success,1
15,overlooking beach near perfect room safety precautions excellent meals good particularly breakfast cannot forget walk beach sunset view staff courteous helpful,1
16,team members jw much helpful expectedperticularly nelini mam rashmi mam truly appreciate respect help hospitality beyond evan jwwill keep mind personally,1
17,stayed nights check check quick room good walk suite elevator really long however view breathtaking worth walk access beach hotel pm room service good housekeeping asked us clean room asked come would away never turned windows room fingerprints previous guests although cannot use pool ok considering covid clean breakfast spread good enjoyed bonvoy member understand cleanliness standards set marriott chose property unfortunately let hope management,1
18,stayed hotel family diwali holidays unaware fully booked room studio suite room small given upgrade although marriott bonvoy membership even chargeable basis excuse rooms available room small office table chair instead dining table place extra bed room need remove dining table felt monopoly attitude felt years back changed till time even tough time hospitality industry except selected room fb dept good staff courteous especially gurvinder vilkhu fb rashmi front office much courteous,1
19,dining lotus cafe past monthsall covid precautions place always staff polite efficient restaurant manager mrritesh mrsiddeshvery welcoming rebecca ronnyakashsuper efficient best dish nalli nihari tender meat cooked chef mrsirajjudin delicious full flavour lip smacking best town thankyou great talent chef always enjoy relaxing meal,1
20,stayed jw marriott juhu recently gone wedding could avoided overall socially distant wedding hotel staff nice safety precautions takenby hotel however morning breakfast buffet breakfast many people sharing spoon filling plates came shock immensely crowded shocked see morning breakfast venue looked like normal day covid time hotel booked looked like almost full capacity buzzing crowdthe stay overall nice disappointed seeing breakfast venue large crowd eating together hotel could done something kept buffet different,1
21,due travel restriction could travel wanted wedding anniversary special booked best hotel town jw marriott juhu even busy city like mumbai gives feel resort location perfect beach view booked executive ocean beach vie room amazing seeing juhu beach since childhood never thought would beautiful view beach rooms view bathroom bathtub spectacular please convey thanks rashmi trivedi make special occasion memorable arrangements perfect requests taken care time also would like thank satish lotus cafe really helpful made sure accept special,1
22,today visit jw juhu preferred buisness destination meets lovely warmly greeted jessica dedicated passionate duty also remembers potential guest like feels special recognised one highly recommended visit jw juhu,1
23,covid star properties putting best foot forward terms care service attention detail hotel gone opposite route want make booking choices call website india government offices get discredited bad customer service think hotel single handedly top experience call number either one responds pass call another department one responds even minute waiting time try booking online site crashes every page insta handle bios link also crashes mean least save marketing dollars finally someone decides take call response get back days,1
24,amazing mini vacation stay hotel hotel took precautions staff hygienic sanitization stations present almost everywhere lobby rooms well sanitized makes safe place stay covid dinner service lotus cafe went smooth diverse menu buffet thanks ritesh satish gurvinder amazing service toes whenever needed room service great staff cooperated really well got visit beach morning complementary breakfast bellies full big thanks nallini guest relations ensured stay hassle free,1
25,visited j w marriott juhu mumbai family two sea views rooms found everything star quality expected thanks rashmi abhishaik sing stay memorable comfortable corona virus fear enjoyed every corner facilities available one blocked safety gov guidelines stayed numbers times return would take chance past regret love food cleanness safety hygiene service name give ten thank rashmi abhishaik sing many jw,1
26,good experience hotel amazing experience enjoyed stay hotel superb food amazing ambience toddler enjoyed kids frjendly hotel many activities kids visit,1
27,hotel staff excellent excellent service food world management polite helpful specially nallini works overall experience excellent,1
28,dinner yummy delicious making special birthday cakeall thanks efforts made sai jyoti thank hospitality services made birthday hubby really happy 😊😊😊,1
